| %    | Decomp?  | Name                                | # of insns | Asm Path 
| 1.00 | false    | dmy_SsContExpression                | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContExpression.s 
| 1.00 | false    | dmy_SsContExternal                  | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContExternal.s 
| 1.00 | false    | dmy_SsContMainVol                   | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContMainVol.s 
| 1.00 | false    | dmy_SsContNrpn1                     | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContNrpn1.s 
| 1.00 | false    | dmy_SsContNrpn2                     | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContNrpn2.s 
| 1.00 | false    | dmy_SsContPanpot                    | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContPanpot.s 
| 1.00 | false    | dmy_SsContResetAll                  | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContResetAll.s 
| 1.00 | false    | dmy_SsContRpn1                      | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContRpn1.s 
| 1.00 | false    | dmy_SsContRpn2                      | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContRpn2.s 
| 1.00 | false    | dmy_SsGetMetaEvent                  | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsGetMetaEvent.s 
| 1.00 | false    | dmy_SsNoteOn                        | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsNoteOn.s 
| 1.00 | false    | dmy_SsSetControlChange              | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetControlChange.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr0               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr0.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr1               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr1.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr10              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr10.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr11              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr11.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr12              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr12.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr13              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr13.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr14              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr14.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr15              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr15.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr16              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr16.s 
